연번,업체명,업체주소,연락처
369,형제집,"대전 중구 대흥로175번길 34, 1층(대흥동)",
370,한국백제필방,대전 중구 중앙로112번길 25(대흥동),
371,이흥용베이커리,부산 남구 수영로39번길 2-1(문현동),
372,할매팥빙수단팥죽,"부산 남구 용호로90번길 24, 1층 102호(용호동,삼성아파트 상가동)",
373,내호냉면,부산 남구 우암번영로26번길 17(우암동),
374,다다우동,"부산 남구 유엔평화로 7-1(대연동, 1층일부)",
375,대우양복점,"부산 동구 범일로 66,1층(범일동)",
376,아구본가 첨벙 신사본점,"서울 강남구 강남대로 150길 12(논현동, 대원빌딩 102호)",
377,이태리안경,"서울 관악구 신림로 327, 1층(신림동)",
378,실크로드. 송림가,서울 구로구 경인로 398(고척동),
379,궁중 떡집,"서울 금천구 금하로 25길 16, 1층(시흥동)",
380,강성자헤어,경기도 양평군 지평면 수곡로 150-3,
381,연희가운,"서울 서대문구 연세로 35(창천동, 외２필지 내 나호)",
382,주식회사 피터팬식품(피터팬1978),"서울 서대문구 증가로 10, 1층(연희동, 연궁빌딩)",
383,삼호복집,서울 서초구 강남대로 51길 5(서초동),
384,지큐양복점(GQTAILOR),서울 성동구 왕십리로 359(하왕십리동),
385,주식회사 이낙근찹쌀떡베이커리카페,"서울 송파구 중대로 316, 지1층 ~ 4층(오금동)",
386,베이커리카페 뱅센숲,"서울 은평구 갈현로 15, 1층 코너(신사동)",
387,진주회관,서울 중구 세종대로 11길 26(서소문동),
388,신한양 식당,"서울 중구 청파로 453, 1층(중림동)",
389,부암갈비,"인천 남동구 용천로 149, 1층(간석동)",
390,성진물텀벙이,인천 미추홀구 독배로403번길 10(용현동),
391,신흥부대고기,인천 중구 서해대로449번길 10(신흥동2가),
392,버텀라인,인천 중구 신포로23번길 23(중앙동4가),
393,낙원떡집,전남 순천시 역전장길 6(덕암동),
394,원조뽀빠이냉면,전북 군산시 장재길 12-4(장재동),
395,국제금고사,전북 군산시 죽성로 23-1(장미동),
396,㈜이성당,전북 군산시 중앙로 177(중앙로1가),
397,함지박,전북 익산시 동서로63길 60(어양동),
398,이경은헤어팜,제주 제주시 오현길 34(이도일동),
399,이태리안경,제주 제주시 중앙로 61(이도일동),
400,늘봄꽃집,제주 제주시 중앙로 64(일도일동),
401,금산원조 김정이삼계탕,충남 금산군 금산읍 인삼약초로 33,
402,심씨네젓갈식품,충남 논산시 강경읍 옥녀봉로27번길 32,
403,민속떡집,충남 당진시 무수동옛길 13(읍내동),
404,복지서점,충남 천안시 봉정로 347(두정동),
405,달동네마늘순대,충북 단양군 단양읍 수변로 73,
406,명동왕족,충북 제천시 명륜로6길 9(청전동),
407,청송통닭,충북 청주시 상당구 남사로 116(남문로2가),
408,금강설렁탕,충북 청주시 상당구 상당로5번길 35(석교동),
409,들림횟집,충북 충주시 살미면 팔봉향산길 374,
410,오복떡집,강원 원주시 평원로 12,
411,옥산장돌과이야기,강원 정선군 여량면 여량3길 79,
412,제궁태권도장,"경기 군포시 산본로 296-1, 1층 108호(금정동, 주공1단지내 상가)",
413,한화 하이안 세탁,"경기 김포시 풍무로68번길 41, 101호(풍무동, 한화유로메트로아파트 상가동)",
414,현경한약방,경기 김포시 양촌읍 양곡1로 23,
415,삼미정,"경기 부천시 부천로130번길 3, 1층(원미동)",
416,그냥동네안경원,"경기 부천시 부천로90번길 31, 1층 104호 일부(원미동, 대우연립)",
417,우드아트,"경기 성남시 수정구 제일로 154, 1층(수진동)",
418,충주기름집,경기 성남시 중원구 둔촌대로 83번길 7(성남동),
419,대성이발관,"경기 수원시 팔달구 인계로68번길 52, 102호(인계동)",
420,대하건재약업사,"경기 수원시 권선구 입북로 12, 1층 102호(입북동)",
421,진천식당,경기 수원시 장안구 정조로934번길 25(영화동),
422,깨 볶는 부부,경기 시흥시 도일로 100-4,
423,맨스헤어몽스튜디오,"경기 시흥시 은행로 66(은행동, 1층)",
424,벼슬구지뼈다귀감자탕,"경기 시흥시 연성로29번길 14-1(하중동, 1층)",
425,이안경박사,"경기 안산시 단원구 원곡로 36, 1층동 (원곡동) ",
426,그때그집,경기 안성시 안성맞춤대로 1052-1,
427,안성땅콩상회,경기 안성시 인지1길 6(아양동),
428,남한강 송어횟집,경기 여주시 세종대왕면 능서로 714,
429,단골집,경기 여주시 대신면 율촌리 379-4,
430,용인떡집,경기 용인시 처인구 금령로93번길 12-1(김량장동),
431,경원식당,경기 의정부시 둔야로 49번길 21(의정부동),
432,고산떡갈비,경기 의정부시 평화로 562번길 13(의정부동),
433,해성장식,경기 이천시 중리천로 11,
434,대로식당,"경기 화성시 병점중앙로 170번길 12-7(진안동, 쌍둥이빌딩A동 1층 대로식당)",
435,석정,경기 화성시 풀무골로 77번길 20-9(중동),
436,태양이발관,경기 화성시 경기대로 1024(병점동),
437,일미복요리전문점,경남 김해시 김해대로2511번길 4(삼정동),
438,박정희 머리방,경남 밀양시 내일상가2길 9(내일동),
439,향촌식육식당,경남 밀양시 내일상가1길 12(내일동),
